,Modèle,F1_macro (val),F1_macro (test),Précision (test),Rappel (test),Meilleurs paramètres
2,SVM,0.9839269979384915,0.9855807583072542,0.9854218828876131,0.9858044957466505,"{'C': 10, 'kernel': 'rbf'}"
1,Naive Bayes,0.964420984686775,0.9671558430456216,0.9671019211983067,0.96721450300626,{'alpha': 0.5}
0,Decision Tree,0.944073072333026,0.9492750547702904,0.9491177933903143,0.9495151333546128,"{'criterion': 'gini', 'max_depth': None}"
